Fecha,Año,Tienda,Categoría,Cantidad,Costo_Unitario,Costo_Total,Precio_Venta_Unitario,Ingreso_Total,Ganancia_Neta
2024-01-01,2024.0,Portal de las Flores,Girasoles,30.0,12.61,378.3,17.36,520.8,142.5
2024-01-01,2024.0,Portal de las Flores,Tulipanes,,25.58,792.98,38.65,1198.15,405.17
2024-01-01,2024.0,EcoFlores Norte,Orquídeas,39.0,47.51,1852.89,63.08,2460.12,607.23
2024-01-01,2024.0,Jardín Express,Girasoles,39.0,11.0,429.0,17.7,690.3,261.3
2024-01-02,2024.0,Florería Central,Girasoles,46.0,16.07,739.22,26.7,1228.2,488.98
2024-01-02,2024.0,Portal de las Flores,Lirios,12.0,20.29,243.48,29.87,358.44,114.96
2024-01-02,2024.0,Portal de las Flores,Rosas,16.0,17.03,272.48,25.99,415.84,143.36
2024-01-03,2024.0,EcoFlores Norte,Orquídeas,3.0,52.4,157.2,71.57,214.71,57.51
2024-01-03,2024.0,Portal de las Flores,Rosas,24.0,15.98,383.52,26.23,629.52,246.0
2024-01-03,2024.0,Portal de las Flores,Tulipanes,23.0,24.05,553.15,39.59,910.57,357.42
2024-01-04,2024.0,Florería Central,Lirios,,20.84,375.12,31.71,570.78,195.66
2024-01-04,2024.0,EcoFlores Norte,Girasoles,2.0,10.41,20.82,17.13,34.26,13.44
2024-01-05,2024.0,Portal de las Flores,Lirios,36.0,15.03,541.08,21.12,760.32,219.24
2024-01-05,2024.0,EcoFlores Norte,Rosas,32.0,15.24,487.68,21.86,699.52,211.84
2024-01-05,2024.0,EcoFlores Norte,Orquídeas,,55.81,725.53,90.54,1177.02,451.49
2024-01-05,2024.0,EcoFlores Norte,Lirios,44.0,20.98,923.12,32.93,1448.92,525.8
2024-01-05,2024.0,EcoFlores Norte,Rosas,9.0,20.38,183.42,33.94,305.46,122.04
2024-01-06,2024.0,Florería Central,Rosas,24.0,16.47,395.28,23.37,560.88,165.6
2024-01-07,2024.0,EcoFlores Norte,Rosas,7.0,18.23,127.61,27.67,193.69,66.08
2024-01-07,2024.0,Florería Central,Lirios,7.0,20.57,143.99,33.03,231.21,87.22
2024-01-08,2024.0,EcoFlores Norte,Girasoles,36.0,13.31,479.16,20.9,752.4,273.24
2024-01-08,2024.0,Portal de las Flores,Tulipanes,25.0,24.66,616.5,37.86,946.5,330.0
2024-01-08,2024.0,Portal de las Flores,Rosas,24.0,24.65,591.6,34.74,833.76,242.16
2024-01-09,2024.0,Jardín Express,Girasoles,42.0,15.59,654.78,25.5,1071.0,416.22
2024-01-09,2024.0,Portal de las Flores,Tulipanes,13.0,19.84,257.92,30.34,394.42,136.5
2024-01-10,2024.0,Jardín Express,Lirios,2.0,13.21,26.42,20.98,41.96,15.54
2024-01-10,2024.0,EcoFlores Norte,Rosas,43.0,999.0,776.58,23.77,1022.11,245.53
2024-01-11,2024.0,EcoFlores Norte,Tulipanes,28.0,26.32,736.96,42.28,1183.84,446.88
2024-01-11,2024.0,Portal de las Flores,Lirios,47.0,14.37,675.39,23.8,1118.6,443.21
2024-01-11,2024.0,Portal de las Flores,Girasoles,40.0,13.45,538.0,19.04,761.6,223.6
2024-01-12,2024.0,Portal de las Flores,Rosas,26.0,24.37,633.62,34.72,902.72,269.1
2024-01-12,2024.0,Florería Central,Rosas,6.0,23.0,138.0,32.97,197.82,59.82
2024-01-12,2024.0,Jardín Express,Tulipanes,38.0,18.79,714.02,29.91,1136.58,422.56
