Fecha,Año,Tienda,Categoría,Cantidad,Costo_Unitario,Costo_Total,Precio_Venta_Unitario,Ingreso_Total,Ganancia_Neta,Cluster_Venta
2025-03-11,2025.0,Florería Central,Rosas,28.0,18.18,509.04,32.38,906.64,397.6,0
2024-09-27,2024.0,EcoFlores Norte,Orquídeas,1.0,46.25,46.25,79.2,79.2,32.95,2
2024-04-16,2024.0,EcoFlores Norte,Orquídeas,13.0,45.59,592.67,78.97,1026.61,433.94,2
2024-03-12,2024.0,Florería Central,Orquídeas,39.0,49.73,1939.47,86.21,3362.19,1422.72,2
2025-12-01,2025.0,Florería Central,Girasoles,43.0,12.9,554.7,22.77,979.11,424.41,1
2024-01-21,2024.0,EcoFlores Norte,Girasoles,14.0,15.6,218.4,27.08,379.12,160.72,1
2025-09-06,2025.0,Jardín Express,Girasoles,9.0,11.92,107.28,20.38,183.42,76.14,0
2024-05-01,2024.0,Florería Central,Orquídeas,37.0,49.48,1830.76,76.88,2844.56,1013.8,2
2025-04-11,2025.0,Jardín Express,Rosas,6.0,15.75,94.5,23.05,138.3,43.8,0
2024-08-02,2024.0,Florería Central,Orquídeas,41.0,45.54,1867.14,76.96,3155.36,1288.22,2
2024-11-26,2024.0,Portal de las Flores,Girasoles,11.0,15.1,166.1,23.72,260.92,94.82,1
2025-04-03,2025.0,EcoFlores Norte,Lirios,12.0,18.29,219.48,30.99,371.88,152.4,1
2024-03-28,2024.0,EcoFlores Norte,Orquídeas,16.0,39.17,626.72,56.82,909.12,282.4,2
2025-01-07,2025.0,Florería Central,Orquídeas,33.0,39.03,1287.99,52.2,1722.6,434.61,2
2024-04-09,2024.0,Portal de las Flores,Tulipanes,31.0,27.53,853.43,45.09,1397.79,544.36,1
2025-10-25,2025.0,EcoFlores Norte,Lirios,19.0,14.58,277.02,19.12,363.28,86.26,1
2024-05-10,2024.0,Portal de las Flores,Girasoles,16.0,12.96,207.36,16.85,269.6,62.24,1
2025-10-23,2025.0,Portal de las Flores,Tulipanes,12.0,26.12,313.44,43.02,516.24,202.8,1
2024-11-04,2024.0,EcoFlores Norte,Lirios,17.0,18.39,312.63,26.02,442.34,129.71,1
2024-12-09,2024.0,Jardín Express,Rosas,9.0,17.57,158.13,28.45,256.05,97.92,0
2025-05-06,2025.0,Portal de las Flores,Girasoles,19.0,13.05,247.95,23.39,444.41,196.46,1
2025-02-17,2025.0,Florería Central,Girasoles,42.0,12.74,535.08,22.09,927.78,392.7,1
2025-01-20,2025.0,EcoFlores Norte,Tulipanes,22.0,26.62,585.64,40.9,899.8,314.16,1
2024-07-10,2024.0,EcoFlores Norte,Rosas,17.0,18.16,308.72,23.77,404.09,95.37,0
2024-10-03,2024.0,Florería Central,Rosas,25.0,15.48,387.0,27.25,681.25,294.25,0
2024-06-09,2024.0,Jardín Express,Rosas,12.0,16.64,199.68,26.28,315.36,115.68,0
2025-04-04,2025.0,EcoFlores Norte,Tulipanes,25.0,20.86,521.5,33.19,829.75,308.25,1
2024-11-09,2024.0,Florería Central,Orquídeas,37.0,40.27,1489.99,61.71,2283.27,793.28,2
2024-01-22,2024.0,Portal de las Flores,Tulipanes,19.0,23.86,453.34,38.18,725.42,272.08,1
2024-09-09,2024.0,EcoFlores Norte,Orquídeas,19.0,48.36,918.84,66.4,1261.6,342.76,2
2025-07-14,2025.0,EcoFlores Norte,Lirios,20.0,15.18,303.6,23.52,470.4,166.8,1
2025-04-19,2025.0,Portal de las Flores,Orquídeas,23.0,38.38,882.74,56.16,1291.68,408.94,2
